Ai,TOPSIS pref,TOPSIS rank
$A_{1}$,0.566358554127138,12
$A_{2}$,0.3739402099337279,26
$A_{3}$,0.5934760520488089,8
$A_{4}$,0.5973084618305329,7
$A_{5}$,0.542537986501406,15
$A_{6}$,0.689261661618442,3
$A_{7}$,0.6397644721190183,4
$A_{8}$,0.4049537354947908,24
$A_{9}$,0.5523159184943508,14
$A_{10}$,0.5704114473209836,11
$A_{11}$,0.4654987035031625,21
$A_{12}$,0.5337106798815446,17
$A_{13}$,0.5197568244102255,18
$A_{14}$,0.5542364631263509,13
$A_{15}$,0.5802370675290163,10
$A_{16}$,0.6053318423327436,6
$A_{17}$,0.5165029617992083,19
$A_{18}$,0.6173716378299705,5
$A_{19}$,0.45373563679086437,23
$A_{20}$,0.45426449524751594,22
$A_{21}$,0.37671977850671845,25
$A_{22}$,0.5345267874611148,16
$A_{23}$,0.5839944993090053,9
$A_{24}$,0.7616567649366629,1
$A_{25}$,0.6946322846568403,2
$A_{26}$,0.4869363614255525,20
