Ai,TOPSIS,TOPSIS dir
$A_{1}$,0.009816266982262973,1.0
$A_{2}$,0.01365080529770045,1.0
$A_{3}$,0.02084492650578295,1.0
$A_{4}$,0.009274197791843103,-1.0
$A_{5}$,0.005589068317808077,-1.0
$A_{6}$,0.008577045099495282,1.0
$A_{7}$,0.00663363494843808,1.0
$A_{8}$,0.014481766115547013,-1.0
$A_{9}$,0.007765150873288959,-1.0
$A_{10}$,0.005467067295410859,1.0
$A_{11}$,0.030753092661234015,1.0
$A_{12}$,0.05824769770493775,1.0
$A_{13}$,0.028441706448864096,1.0
$A_{14}$,0.029446622365714166,1.0
$A_{15}$,0.010041222500550222,1.0
$A_{16}$,0.059272944483151624,1.0
$A_{17}$,0.01017833878694565,-1.0
$A_{18}$,0.011094416117730745,1.0
$A_{19}$,0.014258767424403162,1.0
$A_{20}$,0.007143168973339342,-1.0
$A_{21}$,0.04823990615794767,1.0
$A_{22}$,0.026994696583023024,1.0
$A_{23}$,0.04172445959656221,1.0
$A_{24}$,0.006392135467349222,1.0
$A_{25}$,0.014344140372484802,-1.0
$A_{26}$,0.026029675094067745,-1.0
